code
2t
2t
2t
2t
2t
2t
2t
2t
2t
2t
2t
2oo
2ot
2t
2t
2t
2t
2t
2t
2t
2t
2t
2t
2t
2t
2t
2oooo
21
2oo
2t
2o
24
2oooo
2o
2oooo
2oo
2oo
2oo
2t
2t
2o
2o
2oo
2o
2o
2o
2ot
2o
2oo
2ot
2oo
2t
2t
2o
2o
2oo
2o
2oo
2oooo
2oo
2oooo
2o
2oo
2o
2o
2t
2oo
2ooo
2o
2o
2oo
2oo
2oo
2oo
2oo
2t
2oo
2ooo
2oo
2oooo
2ooo
2oooo
2ooo
2t
2o
2oooooo
2o
2o
2t
2o
26oto
2oo
2o
2o
2t
2t
2oo
2o
2t
2oo
2t
2ooo
2t
2t
2t
2o
2o
2t
2o
2ooo
2oooo
2oo
2oo
2ooo
2o
2oo
2o
2oo
2ooooo
2oo
2oo
2t
2ooo
2oo
2o
2o
2o
2oooo
2o
2ooooooo
2o
2o
2o
2o
2o
2t
2o
2o
2oo
2o
2oo
2o
2o
2oo
2o
2o
2oo
2oo
2oo
2ooooo
2o
2o
2ooooo
2o
2o
2o
2t
2o
2o
2o
2oo
2o
2o
2oo
2o
2o
2o
2o
2o
2o
2o
2o
2o
2t
2oo
2oo
2o
2t
2ooo
2oo
2oo
2o
2oo
2ooo
24
2o
2o
2o
2oo
2o
2o
2o
2oo
2ooo
2ooo
2o
2oo
2o
2o
2oo
2oo
2oooo
2o
2oo
2o
2oo
2oooo
2ooo
2o
2ooooo
2oo
2o
2o
2o
2oo
2t
2t
2o
2o
2o
2oo
2o
2t
